Empresa,Rubro,Monto Sugerido ARS,Ciudad,Provincia,Direccion,Telefono,Contacto,Fit Score,Dolor Diagnosticado,Calificacion Google,Rango de Precio,Distancia km,Link Guia Cores
"Gonzalez Albors Hnos SRL","Distribuidora Mayorista","330000","General Roca","Río Negro","Bolivia 689, R8332 Gral. Roca, Río Negro, Argentina","0298 15-468-9805","Luciana Silva","8","Dificultad para centralizar reservas de mesas y pedidos para llevar desde WhatsApp.","5","$$","7.9","https://www.google.com/search?q=Gonzalez%20Albors%20Hnos%20SRL%20General%20Roca"
"Distribuidora R y R","Distribuidora Mayorista","345000","General Roca","Río Negro","Gral. José de San Martín 2693, R8332 Gral. Roca, Río Negro, Argentina","0298 420-3046","Carlos Benítez","8","Dificultad para centralizar reservas de mesas y pedidos para llevar desde WhatsApp.","5","$$$","0.3","https://www.google.com/search?q=Distribuidora%20R%20y%20R%20General%20Roca"
"Mayorista Tronelli SA","Distribuidora Mayorista","400000","General Roca","Río Negro","Av. Mendoza 79, R8332 Gral. Roca, Río Negro, Argentina","0298 413-2456","Mariano Gómez","9","No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.","4.7","$","2","https://www.google.com/search?q=Mayorista%20Tronelli%20SA%20General%20Roca"
"La Roka Distribuidora","Distribuidora Mayorista","375000","General Roca","Río Negro","Av. San Juan 2362-2264, R8332 Gral. Roca, Río Negro, Argentina","0298 458-1254","Sofia Rodriguez","7","Excelente presencia de marca en Google pero carece de un canal automático de cotizaciones y CRM para agendar reuniones de ventas 24/7.","4.8","$$","3.7","https://www.google.com/search?q=La%20Roka%20Distribuidora%20General%20Roca"
"CEDISUR","Distribuidora Mayorista","390000","General Roca","Río Negro","Gustavo Adolfo Becquer 92, 8332, R8332 Gral. Roca, Río Negro, Argentina","0298 429-2700","Gustavo B.","8","Dificultad para centralizar reservas de mesas y pedidos para llevar desde WhatsApp.","4.3","$$$","5.4","https://www.google.com/search?q=CEDISUR%20General%20Roca"
"Distribuidora San José SRL","Distribuidora Mayorista","445000","General Roca","Río Negro","Av. Mendoza y, Rochdale 16, R8332 Gral. Roca, Río Negro, Argentina","Sin teléfono","Andrés Martínez","9","No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.","4.4","$","7.1","https://www.google.com/search?q=Distribuidora%20San%20Jos%C3%A9%20SRL%20General%20Roca"
"Sileno bebidas","Distribuidora Mayorista","420000","General Roca","Río Negro","Jujuy 897, R8332 Gral. Roca, Río Negro, Argentina","0298 491-9808","Gabriela López","7","Excelente presencia de marca en Google pero carece de un canal automático de cotizaciones y CRM para agendar reuniones de ventas 24/7.","5","$$","8.8","https://www.google.com/search?q=Sileno%20bebidas%20General%20Roca"
"El Tio 2 (Almacén de Bebidas)","Distribuidora Mayorista","475000","General Roca","Río Negro","Dr. Adolfo Alsina 1348, R8332 Gral. Roca, Río Negro, Argentina","0298 482-9733","Facundo Peralta","9","No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.","4.8","$$$","1.2","https://www.google.com/search?q=El%20Tio%202%20(Almac%C3%A9n%20de%20Bebidas)%20General%20Roca"
"Alpataco Distribuidora","Distribuidora Mayorista","490000","General Roca","Río Negro","Gral. Martín Miguel de Güemes 1030, R8332 Gral. Roca, Río Negro, Argentina","0298 433-7043","Estela Castro","9","No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.","4.9","$","2.9","https://www.google.com/search?q=Alpataco%20Distribuidora%20General%20Roca"
"Distribuciones Manar SA Mayorista de Fiambres Y Lacteos","Distribuidora Mayorista","505000","General Roca","Río Negro","República del Líbano 1742, R8332 Gral. Roca, Río Negro, Argentina","0298 442-9629","Martin Diaz","9","No cuenta con página web institucional ni catálogo digital, lo que reduce su presencia digital en la Patagonia.","4.8","$$","4.6","https://www.google.com/search?q=Distribuciones%20Manar%20SA%20Mayorista%20de%20Fiambres%20Y%20Lacteos%20General%20Roca"
