"archivo","ruta_relativa","carpeta","tipo","tamaño_kb","lineas","descripcion","estado","temas_secciones"
"replit.md","replit.md",".","MD","5.62","151","Clientum CRM","completo","Clientum CRM | Stack | Cómo correr | Estructura del proyecto | Variables de entorno"
"roadmap-modulos-nuevos.md","roadmap-modulos-nuevos.md",".","MD","10.87","313","Roadmap — Módulos Nuevos Clientum CRM","borrador/pendiente","Roadmap — Módulos Nuevos Clientum CRM | Estado actual — lo que ya existe | Módulo 1 — Google Maps Intelligence (mejora del existente) | Objetivo | Estado actual"
"README.md","referencia-tecnica/README.md","referencia-tecnica","MD","1.14","22","Referencia Técnica — Clientum CRM","borrador/pendiente","Referencia Técnica — Clientum CRM | Archivos | Documentación complementaria"
"arquitectura-e-integraciones.md","referencia-tecnica/arquitectura-e-integraciones.md","referencia-tecnica","MD","11.67","277","Arquitectura Técnica e Integraciones — Clientum CRM","borrador/pendiente","Arquitectura Técnica e Integraciones — Clientum CRM | Visión general | Stack tecnológico | Flujo dev → producción | Schema de base de datos"
"auditoria-y-contexto.md","referencia-tecnica/auditoria-y-contexto.md","referencia-tecnica","MD","5.43","134","Auditoría, Contexto y Errores Conocidos — Clientum CRM","borrador/pendiente","Auditoría, Contexto y Errores Conocidos — Clientum CRM | Auditoría de secrets (julio 2026) | Limitaciones del Remix (Replit) | Errores TypeScript conocidos y sus fixes | `ok` property en `Response`"
"entorno-plataformas.md","referencia-tecnica/entorno-plataformas.md","referencia-tecnica","MD","5.06","150","Entorno y Plataformas — Notas técnicas Clientum","borrador/pendiente","Entorno y Plataformas — Notas técnicas Clientum | Vercel | Routing (`vercel.json`) | Variables de entorno | Errores comunes"
"implementacion-santi-hermes.md","referencia-tecnica/implementacion-santi-hermes.md","referencia-tecnica","MD","29.15","677","Hermes Santi SDR — Documentación completa de implementación","borrador/pendiente","Hermes Santi SDR — Documentación completa de implementación | Santi SDR con Hermes Agent — Quickstart | 1. Instalar Hermes en tu server (clientum-latam) | o manual: | 2. Configurar el modelo (OpenRout"
"README.md","referencia-tecnica/agentes/README.md","referencia-tecnica/agentes","MD","5.19","87","Agentes IA — Clientum · Arquitectura Hermes Prime","borrador/pendiente","Agentes IA — Clientum · Arquitectura Hermes Prime | ⚠️ Estado real vs. visión (julio 2026) | Estructura de esta carpeta | Árbol de agentes (resumen) | Cómo funciona el sistema autónomo"
"departamento-tecnico.md","referencia-tecnica/agentes/departamento-tecnico.md","referencia-tecnica/agentes","MD","2.25","67","Departamento Técnico — Agentes IA Clientum","completo","Departamento Técnico — Agentes IA Clientum | Agente Técnico (CTO AI) | Backend / Infra | Frontend / UX | IA & Automatización"
"departamento-ventas.md","referencia-tecnica/agentes/departamento-ventas.md","referencia-tecnica/agentes","MD","3.27","84","Departamento de Ventas — Agentes IA Clientum","borrador/pendiente","Departamento de Ventas — Agentes IA Clientum | Agente de Ventas (Sales Manager AI) | Santi SDR (SDR Outbound AI) | Integración Hermes ↔ CRM (AI Prospector) | Obtener leads pendientes"
"departamentos-marketing-cs-ops.md","referencia-tecnica/agentes/departamentos-marketing-cs-ops.md","referencia-tecnica/agentes","MD","2.75","66","Marketing · Customer Success · Operaciones — Agentes IA Clientum","completo","Marketing · Customer Success · Operaciones — Agentes IA Clientum | Agente de Marketing (Marketing Manager AI) | SEO & Contenido (sub-agente) | Agente Customer Success (CS Manager AI) | Asesor Comercia"
"organigrama-y-arquitectura.md","referencia-tecnica/agentes/organigrama-y-arquitectura.md","referencia-tecnica/agentes","MD","6.05","116","Organigrama y Arquitectura — Sistema de Agentes Clientum","completo","Organigrama y Arquitectura — Sistema de Agentes Clientum | Organigrama | Regla de oro | Motor técnico | Arquitectura Hermes Prime"
"setup-y-api-keys.md","referencia-tecnica/agentes/setup-y-api-keys.md","referencia-tecnica/agentes","MD","4.91","97","Setup y API Keys — Agentes Autónomos Clientum","completo","Setup y API Keys — Agentes Autónomos Clientum | Puesta en marcha — ya en este repo | 1. Cargar el secret GEMINI_API_KEY en GitHub | 2. Activar permisos de escritura | 3. Cómo darle trabajo (dos formas"
"customer-success-asesor.md","referencia-tecnica/agentes/fichas/customer-success-asesor.md","referencia-tecnica/agentes/fichas","MD","0.67","19","Asesor Comercial IA — Inbound Chatbot","borrador/pendiente","Asesor Comercial IA — Inbound Chatbot | Identidad | Memoria | Proceso | Skill"
"customer-success.md","referencia-tecnica/agentes/fichas/customer-success.md","referencia-tecnica/agentes/fichas","MD","0.71","19","Agente Customer Success — CS Manager AI","borrador/pendiente","Agente Customer Success — CS Manager AI | Identidad | Memoria | Proceso | Skill"
"marketing-seo-contenido.md","referencia-tecnica/agentes/fichas/marketing-seo-contenido.md","referencia-tecnica/agentes/fichas","MD","0.67","19","SEO & Contenido — Content AI","borrador/pendiente","SEO & Contenido — Content AI | Identidad | Memoria | Proceso | Skill"
"marketing.md","referencia-tecnica/agentes/fichas/marketing.md","referencia-tecnica/agentes/fichas","MD","0.7","19","Agente de Marketing — Marketing Manager AI","borrador/pendiente","Agente de Marketing — Marketing Manager AI | Identidad | Memoria | Proceso | Skill"
"operaciones-finanzas-admin.md","referencia-tecnica/agentes/fichas/operaciones-finanzas-admin.md","referencia-tecnica/agentes/fichas","MD","0.66","19","Finanzas & Admin — Híbrido","borrador/pendiente","Finanzas & Admin — Híbrido | Identidad | Memoria | Proceso | Skill"
"operaciones.md","referencia-tecnica/agentes/fichas/operaciones.md","referencia-tecnica/agentes/fichas","MD","0.69","19","Agente de Operaciones — COO AI","borrador/pendiente","Agente de Operaciones — COO AI | Identidad | Memoria | Proceso | Skill"
"orquestador.md","referencia-tecnica/agentes/fichas/orquestador.md","referencia-tecnica/agentes/fichas","MD","1.3","27","Orquestador IA — Chief of Staff","borrador/pendiente","Orquestador IA — Chief of Staff | Identidad | Memoria | Proceso | Skill"
"tecnico-backend-infra.md","referencia-tecnica/agentes/fichas/tecnico-backend-infra.md","referencia-tecnica/agentes/fichas","MD","0.82","21","Backend / Infra — Híbrido","borrador/pendiente","Backend / Infra — Híbrido | Identidad | Memoria | Proceso | Skill"
"tecnico-frontend-ux.md","referencia-tecnica/agentes/fichas/tecnico-frontend-ux.md","referencia-tecnica/agentes/fichas","MD","0.69","20","Frontend / UX — Híbrido","borrador/pendiente","Frontend / UX — Híbrido | Identidad | Memoria | Proceso | Skill"
"tecnico-ia-automatizacion.md","referencia-tecnica/agentes/fichas/tecnico-ia-automatizacion.md","referencia-tecnica/agentes/fichas","MD","0.75","21","IA & Automatización — Agente IA","borrador/pendiente","IA & Automatización — Agente IA | Identidad | Memoria | Proceso | Skill"
"tecnico.md","referencia-tecnica/agentes/fichas/tecnico.md","referencia-tecnica/agentes/fichas","MD","0.87","21","Agente Técnico — CTO AI","borrador/pendiente","Agente Técnico — CTO AI | Identidad | Memoria | Proceso | Skill"
"ventas-explorador-patagonico.md","referencia-tecnica/agentes/fichas/ventas-explorador-patagonico.md","referencia-tecnica/agentes/fichas","MD","0.84","21","Explorador Patagónico — Lead Generation AI","borrador/pendiente","Explorador Patagónico — Lead Generation AI | Identidad | Memoria | Proceso | Skill"
"ventas-santi-sdr.md","referencia-tecnica/agentes/fichas/ventas-santi-sdr.md","referencia-tecnica/agentes/fichas","MD","0.8","21","Santi SDR — SDR Outbound AI","borrador/pendiente","Santi SDR — SDR Outbound AI | Identidad | Memoria | Proceso | Skill"
"ventas.md","referencia-tecnica/agentes/fichas/ventas.md","referencia-tecnica/agentes/fichas","MD","0.86","21","Agente de Ventas — Sales Manager AI","borrador/pendiente","Agente de Ventas — Sales Manager AI | Identidad | Memoria | Proceso | Skill"
"agentes-clientum.yml","referencia-tecnica/agentes/scripts/agentes-clientum.yml","referencia-tecnica/agentes/scripts","YML","1.26","46","name: Agentes Clientum — Loop Autónomo","completo","Corre cada 15 min y también se puede disparar a mano. | No requiere presupuesto: usa el free tier de GitHub Actions + Gemini API. | Necesario para que el bot pueda comentar, etiquetar y cerrar issues."
"run-agentes.mjs","referencia-tecnica/agentes/scripts/run-agentes.mjs","referencia-tecnica/agentes/scripts","MJS","14.81","382","// scripts/run-agentes.mjs","completo","IDENTIDAD | MEMORIA (contexto acumulado) | PROCESO | SKILL (herramientas disponibles) | TAREA (issue de GitHub)"
"README.md","sitio/README.md","sitio","MD","3.68","98","Sitio — Archivos del sitio clientum.com.ar","completo","Sitio — Archivos del sitio clientum.com.ar | Estructura | Archivos canónicos | `sitio-copy-completo-v5.md` — fuente de verdad del copy | `sitio-copy.csv` — copy estructurado por página (12 filas · 11 "
"sitemap.csv","sitio/sitemap.csv","sitio","CSV","21.43","133","﻿'url','dominio','tipo','slug','lastmod','changefreq','priority','fuentes'","borrador/pendiente",""
"sitio-copy-completo-v5.md","sitio/sitio-copy-completo-v5.md","sitio","MD","17.46","329","Clientum — Copy completo del sitio","borrador/pendiente","Clientum — Copy completo del sitio | Navegación global | Página: Chatbot WhatsApp | Página: CRM Inteligente | Página: Asistente IA"
"sitio-copy.csv","sitio/sitio-copy.csv","sitio","CSV","21.71","287","﻿'pagina','tipo','slug','url_produccion','h1','subtitulo','ctas','features','stats','faq','copy_completo'","borrador/pendiente","Tabla de planes | Catálogo de integraciones (63 herramientas · 10 categorías) | Catálogo canónico de 25 cursos"
"README.md","sitio/catalogo/README.md","sitio/catalogo","MD","4.8","101","Catálogo — Archivos de datos Clientum","completo","Catálogo — Archivos de datos Clientum | Estructura | Archivos canónicos (fuente de verdad) | `servicios-y-productos.csv` — 456 filas · 14 columnas | `cursos.csv` — 289 filas · 25 columnas"
"cursos.csv","sitio/catalogo/cursos.csv","sitio/catalogo","CSV","435.42","5766","﻿'tipo_registro','sku_o_id','nombre','plataforma','categoria','nivel','duracion','descripcion_corta','descripcion_completa','precio_usd','url','fecha_","borrador/pendiente",""
"planes.csv","sitio/catalogo/planes.csv","sitio/catalogo","CSV","1.69","6","﻿ID,Type,SKU,Name,Published,Short description,Description,In stock?,Regular price,Categories,Tags","completo",""
"servicios-y-productos.csv","sitio/catalogo/servicios-y-productos.csv","sitio/catalogo","CSV","143.97","457","﻿'sku','nombre','tipo','categoria','subcategoria','descripcion_corta','descripcion','precio_usd','publicado','en_stock','etiquetas','software','tipo_i","borrador/pendiente",""
"catalogo-maestro-425.txt","sitio/catalogo/fuentes/catalogo-maestro-425.txt","sitio/catalogo/fuentes","TXT","23.7","455","CTM-0050	Outsourcing de procesos de negocio	--	$33","borrador/pendiente",""
"talleres_donweb.csv","sitio/catalogo/fuentes/talleres_donweb.csv","sitio/catalogo/fuentes","CSV","407.17","5662","﻿'id','titulo','slug','url','fecha_publicacion','fecha_modificacion','fecha_taller','estado','horario_argentina','horario_colombia','horario_mexico','","borrador/pendiente",""
"woocommerce-573.csv","sitio/catalogo/fuentes/woocommerce-573.csv","sitio/catalogo/fuentes","CSV","152.53","574","﻿ID,Type,SKU,Name,Published,Short description,Description,In stock?,Regular price,Categories,Tags","borrador/pendiente",""
"ai-client-prospector-pipeline-v2.csv","sitio/catalogo/leads/ai-client-prospector-pipeline-v2.csv","sitio/catalogo/leads","CSV","0.7","3","﻿ID,Empresa,Monto_ARS,Etapa_CRM,Rubro,Ciudad,Direccion,Telefono,Contacto,Dolor_Atencion,MEDDIC_Score","completo",""
"leads-general-roca-distribuidora.csv","sitio/catalogo/leads/leads-general-roca-distribuidora.csv","sitio/catalogo/leads","CSV","8.13","21","﻿Empresa,Rubro,Monto Sugerido ARS,Ciudad,Provincia,Direccion,Telefono,Contacto,Fit Score,Dolor Diagnosticado,Calificacion Google,Rango de Precio,Dista","completo",""
"clientum-content-fusionado.xml","sitio/fuentes/clientum-content-fusionado.xml","sitio/fuentes","XML","213.06","8229","<?xml version='1.0' encoding='UTF-8'?>","borrador/pendiente",""
"sitemap-clientumlatam-v2.xml","sitio/fuentes/sitemap-clientumlatam-v2.xml","sitio/fuentes","XML","9.88","274","﻿<?xml version='1.0' encoding='UTF-8'?>","borrador/pendiente",""
"sitemap-mysitemapgenerator-generado.xml","sitio/fuentes/sitemap-mysitemapgenerator-generado.xml","sitio/fuentes","XML","17.61","467","<?xml version='1.0' encoding='UTF-8'?>","borrador/pendiente",""
